Card_ID,Card_Type,MoveType,Card_Name_EN,Range_Type,Attack_Count,Damage,Status_Type,Status_Turn,Damage_Buff,Recover_HP,Ani_Code,Effect_Code,Card_Ex
C111,1,M,Break_1,1,3,7,0,0,0,0,Break_Attack,Break_Effect,
C112,1,M,Break_2,1,3,12,0,0,0,0,Break_Attack,Break_Effect,
C121,1,P,Distotion_1,2,1,5,0,0,0,0,Distotion_Attack,Distotion_Effect,
C122,1,P,Distotion_2,2,1,8,0,0,0,0,Distotion_Attack,Distotion_Effect,
C131,1,M,Solo_1,1,3,3,0,0,0,0,Solo_Attack,Solo_Effect,
C132,1,M,Solo_2,1,3,5,0,0,0,0,Solo_Attack,Solo_Effect,
C141,1,P,Harmonic_Wave_1,1,3,5,0,0,0,5,Wave_Attack,Wave_Effect,
C142,1,P,Harmonic_Wave_2,1,3,8,0,0,0,8,Wave_Attack,Wave_Effect,
C211,2,P,Fire_1,1,1,2,1,2,0,0,Debuff_Attack,Fire_Effect,
C212,2,P,Fire_2,1,1,3,1,3,0,0,Debuff_Attack,Fire_Effect,
C221,2,P,Eletric_1,1,1,2,2,2,0,0,Debuff_Attack,Electric_Effect,
C222,2,P,Eletric_2,1,1,3,2,3,0,0,Debuff_Attack,Electric_Effect,
C231,2,P,Captivate_1,1,1,3,3,1,0,0,Debuff_Attack,Captive_Effect,
C232,2,P,Captivate_2,1,1,4,3,2,0,0,Debuff_Attack,Captive_Effect,
C241,2,P,Curse_1,1,1,2,4,2,0,0,Debuff_Attack,Curse_Effect,
C242,2,P,Curse_2,1,1,3,4,3,0,0,Debuff_Attack,Curse_Effect,
C311,3,M,Drain_HP_1,1,1,2,0,0,0,0,Buff_PC,Drain_Effect,다음 공격에서 가한 데미지만큼 체력 회복
C312,3,M,Drain_HP_2,1,1,4,0,0,0,0,Buff_PC,Drain_Effect,다음 공격에서 가한 데미지만큼 체력 회복
C321,3,P,Volum_Up_1,1,1,2,0,0,7,0,Buff_PC,Volum_Effect,다음 공격의 데미지 7 추가
C322,3,P,Volum_Up_2,1,1,4,0,0,14,0,Buff_PC,Volum_Effect,다음 공격의 데미지 14 추가
C331,3,P,Cleanser,1,1,2,0,0,0,0,Buff_PC,Cleanser_Effect,PC에게 부여된 디버프 모두 제거
C341,3,P,Card_Re,1,1,2,0,0,0,0,Buff_PC,Reroll_Effect,패에 소지한 카드를 모두 버리고 다시 드로우
C351,3,P,Card_Random,1,1,2,0,0,0,0,Buff_PC,Random_Effect,소지한 일반 카드 중 1개 랜덤으로 출력