Buff_Type,Buff_Value,Buff_Ex,,,,,,,
Buff_Vulnerable,20,변수 범위: 0~100 (실수) | 1 기준 1% / Ex.50일 경우 받는 피해 50% 증가,,,,,,,
Buff_Weak,20,변수 범위: 0~100 (실수) | 1 기준 1% | Ex.50일 경우 데미지 50% 감소,,,,,,,CA0011
Buff_Burn,4,변수 범위: 1~999 (정수) | 1 기준 1 데미지 | Ex.3일 경우 매 화상마다 3 데미지,변수 범위는 자유롭게 조정하셔도 됩니다. 다 조정하시고 언급만 해주세욥,,,,,,CA0012
Buff_Strength,1,변수 범위: 1~999 (정수) | 1 기준 1 데미지 | Ex.3일 경우 해당턴 모든 데미지 3 증가,변수 범위는 자유롭게 조정하셔도 됩니다. 다 조정하시고 언급만 해주세욥,,,,,,CA0021
,,,,,,,,,CA0022
,,,,,,,,,CB0031
,,,,,,,,,CB0032
,,,,,,,,,CB0041
,,,,,,,,,CB0042
,,,,,,,,,CA1011
,,,,,,,,,CA1012
,,,,,,,,,CA1021
,,,,,,,,,CA1022
,,,,,,,,,CB1031
,,,,,,,,,CB1032
,,,,,,,,,CD1041
,,,,,,,,,CD1042
,,,,,,,,,CD1051
,,,,,,,,,CD1052
,,,,,,,,,CB1061
,,,,,,,,,CB1062
,,,,,,,,,CB1071
,,,,,,,,,CB1072
,,,,,,,,,CA2021
,,,,,,,,,CA2022
,,,,,,,,,CD2031
,,,,,,,,,CD2032
,,,,,,,,,CD2041
,,,,,,,,,CD2042
,,,,,,,,,CB2051
,,,,,,,,,CB2052
,,,,,,,,,CD2061
,,,,,,,,,CD2062
,,,,,,,,,CA3011
,,,,,,,,,CA3012
,,,,,,,,,CB3021
,,,,,,,,,CB3022
,,,,,,,,,CD3031
,,,,,,,,,CD3032
,,,,,,,,,CD3041
,,,,,,,,,CD3042
,,,,,,,,,CD3051
,,,,,,,,,CD3052
,,,,,,,,,CA3061
,,,,,,,,,CA3062